,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Solar Array Size,Solar CapEx,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Solar,Yearly Cost Wind,Elec Cost Solar,Elec Cost Wind,Cheaper source,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,End Plant Latitude,End Plant Longitude,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Transport Mode
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,54435532.16023986,37052007844.27543,1.4838692748841569,6505.295036492993,12862218753.595243,4026766973.9397984,1773389746.9982276,69.5252576926451,30.61895062403226,Wind,5041092326.024128,5.041092326024128,15154.51346806244,3.3406972271084165,4.692640367445997,6.8929825636146695,,3.3406972271084165,NH3,10737.930805179201,,24.7136,46.6753,3340697227.1084166,8381789553.1325445,8.381789553132544,
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,53662351.45396452,36525735821.993614,1.1603646196107644,8318.943257634304,16448149911.448511,3969572373.1090007,2138624756.1133409,68.5377485104342,36.925016580031496,Wind,5406327335.139241,5.406327335139241,15154.51346806244,,,,,,NH3,10430.921300706063,,24.7136,46.6753,,,,
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,63093267.41622317,42944968965.22243,3.0107168567383367,3206.21562506079,6339304598.697951,4667206793.565036,1109016532.3581438,80.58294833733386,19.148031335462218,Wind,4376719111.384045,4.376719111384045,16898.170913657825,4.431518256250106,6.600857021039759,10.988809377987057,,4.431518256250106,NH3,10948.324441596678,,24.7136,46.6753,4431518256.250106,8808237367.634151,8.80823736763415,
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,57975730.666433334,39461674060.739494,4.50224910442313,2144.0411680519833,4239181522.9744463,4288646556.2678885,895114358.2952361,74.04681197270038,15.454844252875647,Wind,4162816937.3211365,4.162816937321137,16873.766867792816,3.115993643637969,4.298698505528906,6.0555224388384525,,3.115993643637969,NH3,11157.796168050794,,24.7136,46.6753,3115993643.637969,7278810580.9591055,7.278810580959106,
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.160715337916,422.9948,49758413.16407243,33868487028.781643,0.24317353421849724,39695.9622260328,78486547792.44884,3680785818.625408,8457372612.142688,63.55162446884394,146.02310341455836,Solar,6948488397.651308,6.948488397651308,16873.766867792816,3.2881276436379694,4.599933005528905,6.701024938838453,,3.2881276436379694,NH3,11144.813015500979,,24.7136,46.6753,3288127643.6379695,10236616041.289278,10.236616041289277,
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,49556395.68742534,33730982115.49495,0.2331130235683475,41409.12970432195,81873809206.98714,3665841952.5357637,8802372669.074844,63.29360702022303,151.97979721318592,Solar,6933544531.561665,6.933544531561664,16561.425035938777,2.9492977752137706,3.874404283481565,5.097612598855928,,2.9492977752137706,NH3,11798.308542402163,,24.7136,46.6753,2949297775.2137704,9882842306.775434,9.882842306775435,
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,49789636.763787486,33889739637.43004,0.7528427183742403,12822.07716580427,25351711253.201157,3683095526.184985,3045472145.163262,63.591503362833464,52.582440716971576,Wind,6313174724.189162,6.313174724189162,16873.766867792816,3.3353002836379693,4.682485125528905,6.877922338838452,,3.3353002836379693,NH3,11247.110679444264,,24.7136,46.6753,3335300283.6379695,9648475007.827131,9.64847500782713,
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,44824738.949287154,30510339722.18024,0.8094902834755917,11924.797154158092,23577616192.442253,3315826469.4673123,2864776644.562726,57.25031799599116,49.46259262929785,Wind,6132479223.588627,6.132479223588627,16748.048828476058,3.0870999204999654,4.248183940930642,5.946810611865918,,3.0870999204999654,NH3,12227.09490090308,,24.7136,46.6753,3087099920.499965,9219579144.088593,9.219579144088591,
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,42090072.93722887,28648966047.500427,0.7517865463400301,12840.090682259091,25387327437.842075,3113534651.1436353,3049099732.238793,53.75759271809738,52.645073823843916,Wind,6316802311.264693,6.316802311264693,16751.11811647505,3.7086281772959944,5.335857178611953,8.277550404999914,,3.7086281772959944,NH3,11457.87367396412,,24.7136,46.6753,3708628177.2959943,10025430488.560688,10.025430488560687,
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,46697932.33710393,31785344729.845554,0.4767952758852406,20245.60207897642,40029446977.76858,3454392456.985524,4540431949.23292,59.64276733611619,78.39408223751293,Solar,6722095036.011425,6.722095036011425,17167.069135605423,4.018286521673309,5.877597090174749,9.439951137210446,,4.018286521673309,NH3,11237.822601171616,,24.7136,46.6753,4018286521.673309,10740381557.684734,10.740381557684735,
